deductee_pan,deductor_gstin,deductor_name,section,invoice_no,amount_deducted_inr,base_amount_inr,rate_pct,quarter,status
AAACD1234K,07ZCGCS0857F7Z2,Om Rubber & Sons,194H,INV/2026/0146,11339.22,226784.50,5.00,Q1 FY2026-27,F
AAACD1234K,33OJCCT6193Z3ZU,Maa Foods Marketing Pvt Ltd,194C,INV/2026/0148,30131.62,1506581.41,2.00,Q1 FY2026-27,F
AAACD1234K,07HFWCR0846X5ZG,Sutlej Packaging Agencies,194J,INV/2026/0149,60314.03,603140.30,10.00,Q1 FY2026-27,F
AAACD1234K,29ELMCZ6248I8Z5,Anand Optics Udyog Pvt Ltd,194C,INV/2026/0151,26110.02,2611002.50,1.00,Q1 FY2026-27,F
AAACD1234K,08ZEUCF7828F1ZA,Raj Chem Solutions Pvt Ltd,194J,INV/2026/0153,3745.90,37459.01,10.00,Q1 FY2026-27,F
AAACD1234K,08SVDCK2205Y1Z2,Malabar Textile Impex,194J,INV/2026/0158,76708.83,767088.33,10.00,Q1 FY2026-27,F
AAACD1234K,07HFWCR0846X5ZG,Sutlej Packaging Agencies,194J,INV/2026/0165,27726.72,277267.24,10.00,Q1 FY2026-27,F
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0166,37534.76,1876738.31,2.00,Q1 FY2026-27,F
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0166,37534.76,1876738.31,2.00,Q1 FY2026-27,F
AAACD1234K,23GTNCO4420R2ZX,Maa Bearings Marketing Pvt Ltd,194Q,INV/2026/0171,30510.83,305108.36,10.00,Q1 FY2026-27,F
AAACD1234K,06DLCCP8360S4ZL,Hind Steel Impex,194J,INV/2026/0176,76153.04,761530.43,10.00,Q1 FY2026-27,F
AAACD1234K,24UICCE1878J9ZQ,Sri Cement Agencies,194J,INV/2026/0177,306676.43,3066764.37,10.00,Q1 FY2026-27,F
AAACD1234K,06ZRKCG2801Q4ZN,Lakshmi Packaging Corporation,194C,INV/2026/0182,5683.71,284185.57,2.00,Q1 FY2026-27,F
AAACD1234K,09MUKCP0933H1ZT,Deccan Rubber Corporation,194Q,INV/2026/0190,39.82,39827.42,0.10,Q1 FY2026-27,F
AAACD1234K,09MUKCP0933H1ZT,Deccan Rubber Corporation,194Q,INV/2026/0190,39.82,39827.42,0.10,Q1 FY2026-27,F
AAACD1234K,23JKJCL5697G7ZK,Nav Agro Distributors Pvt Ltd,194H,INV/2026/0191,1422937.23,14229372.35,10.00,Q1 FY2026-27,F
AAACD1234K,24ADICW5664Z5Z5,Maa Plastics Solutions Pvt Ltd,194C,INV/2026/0195,391.40,39140.10,1.00,Q1 FY2026-27,F
AAACD1234K,19YTVCK3600M6Z2,Vikram Beverages Distributors Pvt Ltd,194H,INV/2026/0196,1276.87,25537.46,5.00,Q1 FY2026-27,F
AAACD1234K,23VYVCQ1876S4ZG,Vikram Paper Corporation,194C,INV/2026/0203,18386.63,919331.91,2.00,Q1 FY2026-27,F
AAACD1234K,23VYVCQ1876S4ZG,Vikram Paper Corporation,194C,INV/2026/0203,9193.31,919331.91,1.00,Q1 FY2026-27,F
AAACD1234K,06ZRKCG2801Q4ZN,Lakshmi Packaging Corporation,194Q,INV/2026/0205,28.68,28683.71,0.10,Q1 FY2026-27,F
AAACD1234K,36RCXCZ6126D6ZI,Malabar Pharma Distributors Pvt Ltd,194H,INV/2026/0222,3573.28,71465.76,5.00,Q1 FY2026-27,F
AAACD1234K,29CDTCP0216T9ZE,Lakshmi Chem Agencies,194C,INV/2026/0225,553.68,27684.08,2.00,Q1 FY2026-27,F
AAACD1234K,29CDTCP0216T9ZE,Lakshmi Chem Agencies,194C,INV/2026/0242,43148.64,2157432.28,2.00,Q1 FY2026-27,F
AAACD1234K,29VTGCJ3928E9ZE,Anand Beverages Corporation,194J,INV/2026/0245,5431.92,271596.04,2.00,Q1 FY2026-27,F
AAACD1234K,24WYRCQ1299Z9ZF,Chetak Packaging Udyog Pvt Ltd,194Q,INV/2026/0257,2172.58,217258.54,1.00,Q1 FY2026-27,F
AAACD1234K,19JUKCI2482L7ZG,Malabar Lubricants Distributors Pvt Ltd,194C,INV/2026/0261,4751.42,237571.25,2.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0269,10442.64,104426.41,10.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0269,10442.64,104426.41,10.00,Q1 FY2026-27,F
AAACD1234K,36YESCR8127H4ZX,Sutlej Lubricants Marketing Pvt Ltd,194J,INV/2026/0270,40965.55,409655.54,10.00,Q1 FY2026-27,F
AAACD1234K,24NRECJ7036A3ZA,Bharat Steel Solutions Pvt Ltd,194H,INV/2026/0272,91696.60,916966.08,10.00,Q1 FY2026-27,F
AAACD1234K,29CDTCP0216T9ZE,Lakshmi Chem Agencies,194C,INV/2026/0275,19848.76,992438.08,2.00,Q1 FY2026-27,F
AAACD1234K,29CDTCP0216T9ZE,Lakshmi Chem Agencies,194C,INV/2026/0275,19848.76,992438.08,2.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194H,INV/2026/0279,80198.84,4009942.46,2.00,Q1 FY2026-27,F
AAACD1234K,32AGQCC1593J2ZN,Chetak Rubber Udyog Pvt Ltd,194J,INV/2026/0281,84786.72,847867.24,10.00,Q1 FY2026-27,F
AAACD1234K,32BTHCA9479I1ZQ,Sutlej Auto Solutions Pvt Ltd,194C,INV/2026/0284,405.10,40510.32,1.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0287,23736.91,237369.12,10.00,Q1 FY2026-27,F
AAACD1234K,19YTVCK3600M6Z2,Vikram Beverages Distributors Pvt Ltd,194H,INV/2026/0295,22112.01,442240.30,5.00,Q1 FY2026-27,F
AAACD1234K,36RCXCZ6126D6ZI,Malabar Pharma Distributors Pvt Ltd,194H,INV/2026/0296,87915.08,879150.89,10.00,Q1 FY2026-27,F
AAACD1234K,08ZEUCF7828F1ZA,Raj Chem Solutions Pvt Ltd,194J,INV/2026/0298,10843.22,108432.20,10.00,Q1 FY2026-27,F
AAACD1234K,08ZEUCF7828F1ZA,Raj Chem Solutions Pvt Ltd,194J,INV/2026/0299,3611.61,36116.13,10.00,Q1 FY2026-27,F
AAACD1234K,33OJCCT6193Z3ZU,Maa Foods Marketing Pvt Ltd,194C,INV/2026/0302,4682.04,234102.05,2.00,Q1 FY2026-27,F
AAACD1234K,23VYVCQ1876S4ZG,Vikram Paper Corporation,194C,INV/2026/0305,540.45,54045.61,1.00,Q1 FY2026-27,F
AAACD1234K,07ZCGCS0857F7Z2,Om Rubber & Sons,194H,INV/2026/0313,15248.35,304967.08,5.00,Q1 FY2026-27,F
AAACD1234K,23OPJCH6209Z5ZX,Godavari Textile Enterprises,194H,INV/2026/0316,21444.37,428887.48,5.00,Q1 FY2026-27,F
AAACD1234K,06QITCV6370J2ZY,Godavari Pharma Marketing Pvt Ltd,194C,INV/2026/0341,34017.10,340171.05,10.00,Q1 FY2026-27,F
AAACD1234K,23RQNCN5702S3ZB,Lakshmi Chem Udyog Pvt Ltd,194C,INV/2026/0347,624.68,31234.40,2.00,Q1 FY2026-27,F
AAACD1234K,23VYVCQ1876S4ZG,Vikram Paper Corporation,194C,INV/2026/0361,3440.42,344042.37,1.00,Q1 FY2026-27,F
AAACD1234K,24YUJCG8707Z4ZZ,Lakshmi Foods Distributors Pvt Ltd,194C,INV/2026/0365,132932.98,6646649.45,2.00,Q1 FY2026-27,F
AAACD1234K,29JVWCK5890R2ZQ,Vindhya Electro Trading Co,194H,INV/2026/0369,91924.80,4596240.32,2.00,Q1 FY2026-27,F
AAACD1234K,36YESCR8127H4ZX,Sutlej Lubricants Marketing Pvt Ltd,194J,INV/2026/0373,17239.22,172392.27,10.00,Q1 FY2026-27,F
AAACD1234K,36YESCR8127H4ZX,Sutlej Lubricants Marketing Pvt Ltd,194J,INV/2026/0373,17239.22,172392.27,10.00,Q1 FY2026-27,F
AAACD1234K,24NRECJ7036A3ZA,Bharat Steel Solutions Pvt Ltd,194H,INV/2026/0383,8398.22,167964.45,5.00,Q1 FY2026-27,F
AAACD1234K,06ZRKCG2801Q4ZN,Lakshmi Packaging Corporation,194Q,INV/2026/0385,13394.92,13394921.90,0.10,Q1 FY2026-27,F
AAACD1234K,23JKJCL5697G7ZK,Nav Agro Distributors Pvt Ltd,194H,INV/2026/0393,34372.18,687443.78,5.00,Q1 FY2026-27,F
AAACD1234K,23JKJCL5697G7ZK,Nav Agro Distributors Pvt Ltd,194H,INV/2026/0393,68744.37,687443.78,10.00,Q1 FY2026-27,F
